search.str,threat.status.mma2022
Matayba cristae,VU
Melicoccus espiritosantensis,EN
Paullinia marginata,EN
Porocystis acuminata,EN
Serjania divaricocca,CR
Serjania fluminensis,EN
Serjania hatschbachii,CR
Serjania littoralis,EN
Serjania tenuis,VU
Talisia ghilleana,EN
Talisia granulosa,CR
Talisia parviflora,VU
Toulicia stans,CR
Toulicia subsquamulata,VU
Urvillea glabra,VU
Chrysophyllum imperiale,EN
Chrysophyllum wilsonii,EN
Manilkara dardanoi,CR
Manilkara decrescens,VU
Manilkara maxima,EN
Micropholis splendens,EN
Pouteria atlantica,CR
Pouteria bapeba,EN
Pouteria bullata,EN
Pouteria butyrocarpa,CR
Pouteria citriodora,EN
Pouteria coelomatica,EN
Pouteria confusa,EN
Pouteria erythrochrysa,VU
Pouteria flavilatex,EN
Pouteria freitasii,VU
Pouteria macahensis,EN
Pouteria maxima,VU
Pouteria multiflora,EN
Pouteria pentamera,EN
Pouteria resinosa,EN
Pouteria stylifera,EN
Pouteria velutinicarpa,CR
Pradosia granulosa,EN
Pradosia kuhlmannii,EN
Pradosia lahoziana,CR
Pradosia longipedicellata,EN
Pradosia restingae,EN
Sarcaulus vestitus,VU
Buddleja speciosissima,EN
Selaginella mendoncae,VU
Brachydontium notorogenes,CR
Castela tweedii,EN
Homalolepis cavalcantei,EN
Homalolepis docensis,CR
Homalolepis floribunda,CR
Homalolepis glabra,VU
Homalolepis insignis,EN
Homalolepis maiana,CR
Homalolepis planaltina,CR
Homalolepis pumila,VU
Homalolepis salubris,CR
Homalolepis suaveolens,CR
Homalolepis warmingiana,EN
Smilax lappacea,EN
Smilax lutescens,EN
Smilax muscosa,VU
Smilax spicata,EN
Smilax subsessiliflora,EN
Athenaea angustifolia,EN
Athenaea sellowiana,EN
Calibrachoa eglandulata,EN
Calibrachoa elegans,EN
Calibrachoa humilis,EN
Calibrachoa spathulata,VU
Capsicum friburgense,EN
Lycianthes repens,EN
Nicotiana mutabilis,VU
Nierembergia pinifolia,CR
Petunia bonjardinensis,EN
Petunia exserta,EN
Petunia mantiqueirensis,EN
Petunia reitzii,CR
Petunia saxicola,CR
Schwenckia curviflora,EN
Schwenckia nova-veneciana,CR
Solanum anisocladum,VU
Solanum arenarium,EN
Solanum bahianum,EN
Solanum friburgense,VU
Solanum gertii,EN
Solanum graveolens,EN
Solanum jabrense,EN
Solanum kleinii,EN
Solanum pabstii,EN
Solanum pachimatium,VU
Solanum paralum,EN
Solanum psilophyllum,EN
Solanum restingae,EN
Solanum santosii,VU
Solanum spissifolium,CR
Solanum viscosissimum,EN
Styrax aureus,EN
Styrax pauciflorus,CR
Symplocos angulata,CR
Symplocos atlantica,EN
Symplocos corymboclados,EN
Symplocos dasyphylla,EN
Symplocos glaberrima,EN
Symplocos incrassata,EN
Symplocos inopinata,EN
Symplocos itatiaiae,EN
Symplocos kleinii,VU
Symplocos microstyla,CR
Symplocos neglecta,CR
Symplocos organensis,EN
Symplocos pycnobotrya,EN
Symplocos rhamnifolia,CR
Symplocos rizzinii,CR (PEX)
Amauropelta novaeana,CR
Goniopteris cutiataensis,EN
Goniopteris littoralis,EN
Goniopteris montana,VU
Goniopteris multigemmifera,CR
Goniopteris refracta,EN
Daphnopsis filipedunculata,EN
Daphnopsis pseudosalix,EN
Funifera brasiliensis,VU
Funifera insulae,CR
Trigonia littoralis,EN
Trigoniodendron spiritusanctense,EN
Tropaeolum warmingianum,EN
Coussapoa curranii,EN
Coussapoa floccosa,EN
Coussapoa pachyphylla,EN
Pilea aparadensis,CR
Pilea flammula,VU
Pourouma formicarum,EN
Barbacenia brevifolia,EN
Barbacenia delicatula,EN
Barbacenia exscapa,CR
Barbacenia fannieae,VU
Barbacenia gaveensis,CR
Barbacenia glutinosa,CR
Barbacenia gounelleana,EN
Barbacenia longiscapa,CR
Barbacenia paranaensis,EN
Barbacenia pungens,CR
Barbacenia riparia,CR
Barbacenia rodriguesii,EN
Barbacenia seubertiana,EN
Barbacenia spectabilis,EN
Barbacenia spiralis,EN
Vellozia alata,EN
Vellozia armata,EN
Vellozia barbata,EN
Vellozia canelinha,CR
Vellozia gigantea,EN
Vellozia glabra,EN
Vellozia hatschbachii,EN
Vellozia lilacina,EN
Vellozia metzgerae,EN
Vellozia nuda,EN
Vellozia patens,EN
Vellozia piresiana,EN
Vellozia pulchra,EN
Vellozia sessilis,EN
Vellozia streptophylla,EN
Vellozia subalata,EN
Aloysia cordata,EN
Aloysia hatschbachii,EN
Lippia bradei,VU
Lippia bromleyana,EN
Lippia elliptica,VU
Lippia insignis,VU
Lippia morii,EN
Lippia pumila,EN
Lippia rhodocnemis,EN
Recordia reitzii,VU
Stachytarpheta almasensis,EN
Stachytarpheta procumbens,EN
Stachytarpheta radlkoferiana,VU
Hybanthus albus,CR
Pombalia strigoides,EN
Rinorea laevigata,EN
Rinorea longistipulata,EN
Rinorea ramiziana,EN
Viola gracillima,EN
Cissus apendiculata,EN
Cissus inundata,VU
Callisthene dryadum,CR
Callisthene erythroclada,EN
Callisthene inundata,EN
Callisthene kuhlmannii,EN
Erisma arietinum,EN
Erisma fuscum,EN
Qualea coerulea,EN
Qualea hannekesaskiarum,EN
Qualea insignis,VU
Qualea labouriauana,VU
Qualea lundii,EN
Qualea magna,EN
Vochysia angelica,EN
Vochysia assua,VU
Vochysia dardanoi,EN
Vochysia eximia,VU
Vochysia expansa,VU
Vochysia glazioviana,EN
Vochysia gummifera,EN
Vochysia mapuerae,VU
Vochysia oblongifolia,EN
Vochysia pygmaea,EN
Vochysia rotundifolia,EN
Vochysia rufescens,VU
Vochysia santaluciae,EN
Vochysia selloi,EN
Vochysia spathulata,EN
Vochysia talmonii,CR
Xyris aurea,EN
Xyris blepharophylla,EN
Xyris cipoensis,EN
Xyris coutensis,CR
Xyris dardanoi,CR
Xyris fibrosa,CR
Xyris fusca,EN
Xyris hatschbachii,CR
Xyris hystrix,CR
Xyris longifolia,EN
Xyris lucida,EN
Xyris morii,EN
Xyris neglecta,EN
Xyris nigricans,CR
Xyris obtusiuscula,EN
Xyris organensis,EN
Xyris phaeocephala,EN
Xyris platystachya,CR
Xyris reitzii,EN
Xyris retrorsifimbriata,CR
Xyris rigida,CR
Xyris sincorana,EN
Xyris sororia,CR
Xyris stenophylla,VU
Xyris tortilis,CR
Xyris uninervis,CR
Xyris vacillans,EN
Xyris wawrae,EN
Renealmia brasiliensis,EN
